origin,sugar,metabolism,carrying capacity,vision,lifespan,pollution rate,age,fitness,x,y
320.0,1.0,1.0,16.0,5.0,43.0,0.0,1.0,1.0,35.0,23.0
320.0,6.139638642674308,1.0,19.0,5.0,43.0,0.0,20.0,6.139638642674308,32.0,8.0
87.0,1.070575822365881,1.0,19.0,4.0,45.0,0.0,8.0,1.070575822365881,45.0,30.0
126.0,6.010600982081792,1.0,16.0,5.0,32.0,0.0,1.0,6.010600982081792,16.0,44.0
359.0,9.53588488316985,1.0,19.0,5.0,48.0,0.0,20.0,9.53588488316985,33.0,38.0
126.0,13.382933017156748,1.0,19.0,5.0,32.0,0.0,20.0,13.382933017156748,4.0,27.0
223.0,10.398685827567906,1.0,19.0,5.0,41.0,0.0,19.0,10.398685827567906,36.0,10.0
320.0,13.0,1.0,16.0,5.0,43.0,0.0,11.0,13.0,36.0,22.0
155.0,7.279695262612417,1.0,17.0,5.0,44.0,0.0,38.0,7.279695262612417,48.0,25.0
126.0,13.0,1.0,19.0,5.0,32.0,0.0,18.0,13.0,46.0,23.0
87.0,2.188254214544819,1.0,19.0,5.0,45.0,0.0,42.0,2.188254214544819,39.0,12.0
359.0,7.670029449412768,1.0,17.0,5.0,48.0,0.0,10.0,7.670029449412768,19.0,42.0
155.0,10.869209094671154,1.0,17.0,5.0,44.0,0.0,17.0,10.869209094671154,10.0,27.0
359.0,3.010600974754733,1.0,19.0,5.0,48.0,0.0,1.0,3.010600974754733,14.0,44.0
87.0,10.640431483683155,1.0,19.0,5.0,45.0,0.0,12.0,10.640431483683155,37.0,37.0
87.0,2.2306551239871486,1.0,17.0,5.0,45.0,0.0,22.0,2.2306551239871486,0.0,6.0
320.0,7.317069178265465,1.0,19.0,5.0,43.0,0.0,41.0,7.317069178265465,2.0,5.0
359.0,21.0,1.0,19.0,4.0,48.0,0.0,2.0,21.0,23.0,7.0
155.0,2.62773625348508,1.0,17.0,5.0,44.0,0.0,42.0,2.62773625348508,37.0,10.0
87.0,6.606331686202037,1.0,17.0,5.0,45.0,0.0,30.0,6.606331686202037,35.0,38.0
87.0,6.004215114639053,1.0,16.0,4.0,45.0,0.0,3.0,6.004215114639053,43.0,31.0
126.0,15.0,1.0,16.0,5.0,32.0,0.0,2.0,15.0,17.0,44.0
359.0,9.383072527688602,1.0,16.0,5.0,48.0,0.0,20.0,9.383072527688602,24.0,21.0
129.0,11.45434127320313,1.0,17.0,4.0,37.0,0.0,17.0,11.45434127320313,6.0,25.0
359.0,19.0,1.0,19.0,4.0,48.0,0.0,1.0,19.0,12.0,32.0
359.0,19.0,1.0,19.0,5.0,48.0,0.0,1.0,19.0,12.0,13.0
320.0,12.020842652648767,1.0,16.0,5.0,43.0,0.0,10.0,12.020842652648767,7.0,4.0
87.0,6.001734229062698,1.0,19.0,5.0,45.0,0.0,1.0,6.001734229062698,49.0,35.0
359.0,12.490215935180657,1.0,19.0,4.0,48.0,0.0,19.0,12.490215935180657,26.0,8.0
320.0,6.426062806683381,1.0,16.0,5.0,43.0,0.0,15.0,6.426062806683381,12.0,44.0
87.0,9.013318518995058,1.0,19.0,5.0,45.0,0.0,7.0,9.013318518995058,24.0,42.0
320.0,4.772483470138132,1.0,19.0,5.0,43.0,0.0,12.0,4.772483470138132,15.0,5.0
87.0,15.000876889691039,1.0,17.0,5.0,45.0,0.0,2.0,15.000876889691039,17.0,6.0
359.0,8.683647286003945,1.0,19.0,5.0,48.0,0.0,18.0,8.683647286003945,30.0,21.0
87.0,3.81207448878638,1.0,18.0,5.0,45.0,0.0,18.0,3.81207448878638,44.0,30.0
223.0,3.0396711363702096,1.0,19.0,5.0,41.0,0.0,11.0,3.0396711363702096,5.0,20.0
