origin,sugar,metabolism,caring capacity,vision,lifespan,pollution rate,age,fitness,x,y
370.0,9.153522985237036,1.0,28.0,5.0,41.0,0.0,10.0,0.0,23.0,30.0
370.0,0.3920989671691708,1.0,28.0,5.0,41.0,0.0,3.0,0.0,5.0,29.0
153.0,1.0,1.0,28.0,3.0,38.0,0.0,3.0,0.0,14.0,13.0
76.0,6.110966647887585,1.0,28.0,5.0,49.0,0.0,2.0,0.0,1.0,30.0
370.0,7.53959604491963,1.0,43.0,5.0,41.0,0.0,12.0,0.0,6.0,29.0
76.0,20.0,1.0,35.0,5.0,49.0,0.0,1.0,0.0,24.0,15.0
153.0,7.0,1.0,21.0,3.0,38.0,0.0,1.0,0.0,7.0,19.0
198.0,0.258881647435371,1.0,27.0,5.0,37.0,0.0,3.0,0.0,45.0,29.0
76.0,15.07057658463663,1.0,27.0,5.0,49.0,0.0,2.0,0.0,2.0,30.0
370.0,13.296897777772307,1.0,27.0,5.0,41.0,0.0,7.0,0.0,49.0,47.0
153.0,11.153202069491005,1.0,21.0,3.0,38.0,0.0,5.0,0.0,8.0,18.0
370.0,2.1071691186096904,1.0,27.0,5.0,41.0,0.0,29.0,0.0,40.0,29.0
370.0,4.5112068950188275,1.0,21.0,5.0,41.0,0.0,4.0,0.0,38.0,30.0
76.0,3.0705534443894322,1.0,28.0,5.0,49.0,0.0,29.0,0.0,27.0,10.0
76.0,12.655205276267564,1.0,35.0,5.0,49.0,0.0,13.0,0.0,27.0,2.0
76.0,3.9086932115984867,1.0,28.0,5.0,49.0,0.0,17.0,0.0,42.0,29.0
268.0,7.012227637023498,1.0,27.0,5.0,27.0,0.0,4.0,0.0,27.0,37.0
370.0,3.628088289306592,1.0,27.0,5.0,41.0,0.0,12.0,0.0,9.0,28.0
76.0,10.081588660205709,1.0,25.0,1.0,49.0,0.0,10.0,0.0,11.0,46.0
395.0,1.3850046070865152,1.0,28.0,3.0,39.0,0.0,13.0,0.0,21.0,34.0
370.0,9.517132946468768,1.0,28.0,5.0,41.0,0.0,24.0,0.0,39.0,49.0
198.0,8.81333011306922,1.0,27.0,5.0,37.0,0.0,28.0,0.0,25.0,31.0
370.0,8.312041085998189,1.0,28.0,5.0,41.0,0.0,15.0,0.0,12.0,27.0
210.0,13.718228698388874,1.0,27.0,5.0,29.0,0.0,11.0,0.0,11.0,17.0
268.0,19.059223801298476,1.0,35.0,5.0,27.0,0.0,2.0,0.0,43.0,29.0
210.0,12.000449082222605,1.0,27.0,5.0,29.0,0.0,10.0,0.0,14.0,26.0
198.0,5.371338601612891,1.0,25.0,5.0,37.0,0.0,9.0,0.0,37.0,49.0
370.0,6.014815971991806,1.0,27.0,5.0,41.0,0.0,1.0,0.0,39.0,30.0
370.0,7.871652109227627,1.0,28.0,5.0,41.0,0.0,14.0,0.0,22.0,38.0
370.0,12.675046015973093,1.0,25.0,5.0,41.0,0.0,12.0,0.0,35.0,0.0
